Key,Description,Standard,ES
SAY.Tutorial and First Room.3.,,"Hello Dungeon Hunter, What is your name?","Hola cazador de Calabozos, ¿Cual es tu nombre?"
SAY.Tutorial and First Room.9.,,Welcome: {$PlayerName},Bienvenido: {$PlayerName}
SAY.Tutorial and First Room.16.,,"Welcome to the dungeon, in this induction tutorial I will share the knowledge necessary to survive (or at least try), the dangers that lie ahead in the dungeon.","Bienvenido al calabozo, en este tutorial de inducción te compartiré el conocimiento necesario para sobrevivir (o intentarlo al menos), a los peligros que se avecinan en el calabozo. "
SAY.Tutorial and First Room.17.,,"First of all, the weapons that you will choose will help you to face the horrible creatures that were in the dungeon, but there will be other obstacles that will appear throughout your trip, to avoid them you will need to use the magic.","Primero que nada las armas que elegirás te servirán para afrontar a las horribles criaturas que yacen en el calabozo, pero habrá otros obstáculos que se te presentarán a lo largo de tu viaje, para lograr eludirlos necesitaras usar las magias."
SAY.Tutorial and First Room.18.,,"It is also important the combination of weapons and magic spells, for the construction of your skills.",También es importante que entiendas que dependiendo de las armas y magias que elijas podrás combinarlas para realizar obtener diferentes habilidades. 
SAY.Tutorial and First Room.19.,,"This combination left you create new skills, and access new powers. You can also add more than just one weapon or one magic spells.",Esta combinación te permite crear nuevas habilidades y acceder a nuevos poderes. También puedes agregar más de un arma o un hechizo mágico. 
SAY.Tutorial and First Room.20.,,"The more advances in the dungeon, you can adquire rewards to move forward in your journey, among these rewards you will find items, power ups, and new skills.","Entre más avances en el dungeon, podrás adquirir recompensas para seguir adelante en tu travesía, entre estas recompensas encontraras items, power ups, y nuevas habilidades. "
SAY.Tutorial and First Room.21.,,Now choose you weapon:,Ahora elige tu arma: 
MENU.Tutorial and First Room.25,,Hammer,Martillo
MENU.Tutorial and First Room.26,,Shield & Axe,Escudo y hacha
MENU.Tutorial and First Room.27,,Blade,Espadas
MENU.Tutorial and First Room.28,,Blow & Arrow,Arco y flechas
MENU.Tutorial and First Room.29,,Spell Staff,Báculo Magico
SAY.Tutorial and First Room.72.,,"Remember, your weapon can combine with the magic you choose next.","Recuerda, tu arma puede combinarse con las habilidades mágicas que elegiste. "
SAY.Tutorial and First Room.73.,,"Good, Now.\nChose your magic.","Bien, Ahora. \nElige tus habilidades mágicas: "
MENU.Tutorial and First Room.74,,Thunder,Trueno
MENU.Tutorial and First Room.75,,Rocks,Rocas
MENU.Tutorial and First Room.76,,Fire,Fuego
MENU.Tutorial and First Room.77,,Wind,Viento
MENU.Tutorial and First Room.78,,Water,Agua
