Key,Description,Standard,ES
SAY.Dungeon.3.,,"Hello Dungeon Hunter, What is your name?",
WRITE.Dungeon.749,,Debes introducir un nombre valido.,
WRITE.Dungeon.752,,Bienvenido.,
SAY.Dungeon.9.,,Welcome: {$PlayerName},
SAY.Dungeon.16.,,"Welcome to the dungeon, in this induction tutorial I will share the knowledge necessary to survive (or at least try), the dangers that lie ahead in the dungeon.",
SAY.Dungeon.17.,,"First of all, the weapons that you will choose will help you to face the horrible creatures that were in the dungeon. ",
SAY.Dungeon.546.,,"But there will be other obstacles that will appear throughout your trip, to avoid them you will need to use the magic.",
SAY.Dungeon.18.,,"It is also important the combination of weapons and magic spells, for the construction of your skills.",
SAY.Dungeon.19.,,"This combination left you create new skills, and access new powers. You can also add more than just one weapon or one magic spells.",
SAY.Dungeon.20.,,"The more advances in the dungeon, you can adquire rewards to move forward in your journey, among these rewards you will find items, power ups, and new skills.",
SAY.Dungeon.21.,,Now choose you weapon:,
MENU.Dungeon.25,,Hammer,
MENU.Dungeon.26,,Shield & Axe,
MENU.Dungeon.27,,Blade,
MENU.Dungeon.28,,Blow & Arrow,
MENU.Dungeon.29,,Spell Staff,
WRITE.Dungeon.850,,{$Strength},
SAY.Dungeon.72.,,"Remember, your weapon can combine with the magic you choose next.",
SAY.Dungeon.73.,,"Good, Now.\nChose your magic.",
MENU.Dungeon.74,,Thunder,
MENU.Dungeon.75,,Rocks,
MENU.Dungeon.76,,Fire,
MENU.Dungeon.77,,Wind,
MENU.Dungeon.78,,Water,
SAY.Dungeon.80.,,"The magic force of the storm resounds in the sky with a deafening roar, the roar of the gods unleashing their fury from the sky.",
SAY.Dungeon.551.,,"Like drums of war that when the combat is falling down making the earth tremble, so is the power of Thunder.",
SAY.Dungeon.90.,,"The power of the earth, unbeatable and immovable as your will, uses its unbreakable spirit to overcome all adversities on your way to conquer the dungeon.",
SAY.Dungeon.552.,,Become part of your enemies with the power of the EARTH.,
SAY.Dungeon.100.,,"
Start small with a small spark, but let it feed and become unstoppable, your hunger consumes everything up to it, the insatiable power of FIRE.",
SAY.Dungeon.110.,,"blow as a tender caress or roar like a hurricane sweeping everything in your path, reduce your obstacles to debris with the power of the WIND.",
SAY.Dungeon.120.,,"Sacred giver of life, revitalize and heal with your purity or destroy everything with your anger, from heaven you fall turning into hell with your stormy power.",
SAY.Dungeon.553.,,Undeck the dungeon under your control with the power of WATER.,
SAY.Dungeon.130.,,Now This is your Character stats.,
WRITE.Dungeon.133,,{$PlayerName},
WRITE.Dungeon.134,,{$Life},
WRITE.Dungeon.135,,{$Mana},
WRITE.Dungeon.136,,{$Strength},
WRITE.Dungeon.137,,{$Defense},
WRITE.Dungeon.138,,{$Dexterity},
WRITE.Dungeon.139,,{$Agility},
WRITE.Dungeon.140,,{$Intelligence},
SAY.Dungeon.145.,,Now welcome to the first room of the dungeon.,
SAY.Dungeon.146.,,"
On the dark path that lies in front of you, you walk forward to the dark sight of the unknown, without hesitation, without title, without looking back.",
SAY.Dungeon.147.,,"
As you advance along the path, the light becomes more absent, you can barely see your hands in front of you, yet you still feel something close to you, a thirst for blood so great that even the darkness of this void can not hide it.",
SAY.Dungeon.148.,,"Emerge from the darkness with rapid and devastating onslaught, a minotaur that seeks to finish you.",
SAY.Dungeon.149.,,The minotaur lunged at you.,
SAY.Dungeon.150.,,Choose,
MENU.Dungeon.151,,Stop the Attack,
MENU.Dungeon.152,,Dodge it,
SAY.Dungeon.155.,,"
Well done, you managed to evade the attack.",
SAY.Dungeon.156.,,Now Choose:,
MENU.Dungeon.157,,Counter Attack,
MENU.Dungeon.158,,Run,
MENU.Dungeon.159,,Cast Spell,
SAY.Dungeon.394.,,"
The minotaur attacks with fury, you try to evade the attack but you are not agile enough, so you end up being pierced by the minotaur's horns.",
SAY.Dungeon.165.,,Your counter Attack was brutal.,
SAY.Dungeon.166.,,"The beast was wounded, but still stands.",
SAY.Dungeon.167.,,"You have to do something quickly,\nChoose:",
MENU.Dungeon.168,,Continue Figthing,
MENU.Dungeon.169,,Run,
SAY.Dungeon.171.,,"Your attack was direct, but you do not have enough strength to cause serious damage.",
SAY.Dungeon.172.,,"
Now you're in trouble, choose:",
MENU.Dungeon.173,,Run,
MENU.Dungeon.174,,Cast Spell,
SAY.Dungeon.179.,,"
Prepare your hammer to deliver the final blow, the minotaur desperately avalances against you.",
SAY.Dungeon.180.,,"
You wait patiently for it to approach you, hammering backwards with its metal head touching the ground.",
SAY.Dungeon.181.,,"As soon as the minotaur is close enough, you turn your body throwing the hammer with a striking blow, which destroys the minotaur's chin by assassinating him instantly.",
SAY.Dungeon.186.,,"
The minotaur is paralyzed after the great counter attack, With rage you rush with your shield in front of you.",
SAY.Dungeon.187.,,"You hit the minotaur with force by dragging him against a wall, the blow is so strong that a crack is made in the wall.",
